Defined Time: 100
Which node is the start: 1
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
1	0	34	78	0	65	12	0	45	0	19	83	57	0	0	29	0	33	91	0	0	44
2	56	0	0	23	0	88	14	0	90	0	47	0	18	0	0	39	0	0	0	24	0
3	0	42	0	51	77	0	0	0	29	65	0	59	0	76	0	0	0	0	0	91	0
4	73	0	0	0	38	0	91	27	0	33	55	0	0	58	0	85	0	0	64	0	0
5	0	19	0	0	0	60	79	0	0	0	0	0	0	0	0	0	0	47	0	0	31
6	21	0	0	0	18	0	53	92	0	0	41	0	0	0	0	68	0	0	0	0	70
7	0	38	0	0	0	0	0	0	0	96	0	0	79	0	0	34	0	0	91	56	0
8	44	0	85	0	0	0	0	0	22	0	70	0	0	0	0	0	55	0	0	0	60
9	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	92	0	73	0
10	0	71	60	0	0	0	0	93	48	0	17	0	0	0	0	0	0	0	0	0	38
11	50	0	0	84	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	48	0	0	13	0	0	0	0	0	22	66	0	0	0	0	0	0	0	0	0	0
13	0	91	0	0	55	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0
14	0	0	94	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	80
15	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	78	0	0	0
16	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0
17	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0
18	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0
19	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55
20	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0


